,user utc offset,text,created_at,user,id,user time zone,lng,user location,lat,language,Parsed,lemmas
12,"Tanza Cavite, PHI","Pork Barrel Scam, earthquake, super typhoon... #PrayForThePhilippines",1383874879.0,_ohItsSuuuperA,'398747050713444352',Hong Kong,,28800.0,,en,"Pork Barrel Scam, earthquake, super typhoon... #PrayForThePhilippines","[Pork, Barrel, Scam, earthquake, super, typhoon, PrayForThePhilippines]"
13,,Wow. Kumare. @PhilstarNews: Bong's lawyer: Senate body violated Napoles' right @PhilstarNews http://t.co/NYNC98EQAB,1383874882.0,beRODJ,'398747063141167104',Kuala Lumpur,,28800.0,,en,Wow. Kumare. @PhilstarNews: Bong's lawyer: Senate body violated Napoles' right @PhilstarNews http://t.co/NYNC98EQAB,"[Wow, Kumare, @PhilstarNews, Bong, 's, lawyer, Senate, body, violated, Napoles, right, @PhilstarNews, http://t.co/NYNC98EQAB]"
14,,@kidyeol me too. I prefer wiggleroom. Sigh na-napoles friend natin &gt;&lt; napoles 2.0,1383874900.0,yixinq_b,'398747136520515584',Hong Kong,,28800.0,,en,@kidyeol me too. I prefer wiggleroom. Sigh na-napoles friend natin &gt;&lt; napoles 2.0,"[@kidyeol, prefer, wiggleroom, Sigh, na, napoles, friend, natin, gt;&lt, napoles]"
15,Philippines,NAPOLES-ZONEhi hi hello -sliggity http://t.co/jq2VIfgHdm,1383874904.0,JBTAGALOGMEMES,'398747152178225152',Arizona,,-25200.0,,en,NAPOLES-ZONEhi hi hello -sliggity http://t.co/jq2VIfgHdm,"[NAPOLES, ZONEhi, hi, hello, -sliggity, http://t.co/jq2VIfgHdm]"
16,Philippines,Palace does not intend to feed alleged pork barrel queen Janet Lim-Napoles to the lions despite her refusal to talk | via @aureacalica,1383874926.0,PhilippineStar,'398747245858021376',Hong Kong,,28800.0,,en,Palace does not intend to feed alleged pork barrel queen Janet Lim-Napoles to the lions despite her refusal to talk | via @aureacalica,"[Palace, intend, feed, alleged, pork, barrel, queen, Janet, Lim, Napoles, lions, despite, refusal, talk, |, @aureacalica]"
17,Jamie's Pocket,@lermanchance @readeatfangirl @oncemoredorothy I'm kind of glad that they somehow diverted some of the attentionto Napoles not just thestorm,1383874934.0,adriaaannee,'398747279265251328',Singapore,,28800.0,,en,@lermanchance @readeatfangirl @oncemoredorothy I'm kind of glad that they somehow diverted some of the attentionto Napoles not just thestorm,"[@lermanchance, @readeatfangirl, @oncemoredorothy, 'm, kind, glad, diverted, attentionto, Napoles, thestorm]"
18,Philippines,The safety of detainees is an institutional concern of the government - Coloma on securing Napoles even without her spilling the beans,1383874962.0,aureacalica,'398747398165393408',Singapore,,28800.0,,en,The safety of detainees is an institutional concern of the government - Coloma on securing Napoles even without her spilling the beans,"[safety, detainees, institutional, concern, government, Coloma, securing, Napoles, spilling, beans]"
19,instagram: aidelacruz,@gmanews: Napoles' denials can be used against her Escudero http://t.co/NNYsqBMlJx Yesss! I love Chiz! :D,1383874977.0,aidelacruz,'398747460903768064',Hong Kong,,28800.0,,en,@gmanews: Napoles' denials can be used against her Escudero http://t.co/NNYsqBMlJx Yesss! I love Chiz! :D,"[@gmanews, Napoles, denials, Escudero, http://t.co/NNYsqBMlJx, Yesss, love, Chiz, :D]"
20,Philippines,#APMBREAKING: Escudero: Put Napoles in ordinary jail http://t.co/jVB2FmPQ1U,1383874995.0,CHNnews360,'398747534044450816',Hong Kong,,28800.0,,en,#APMBREAKING: Escudero: Put Napoles in ordinary jail http://t.co/jVB2FmPQ1U,"[APMBREAKING, Escudero, Napoles, ordinary, jail, http://t.co/jVB2FmPQ1U]"
21,follow back only 4 200% Sones,"lucky I found the whole drama REPLAY: Livestream: Napoles at Senate pork scam hearing (Nov. 7, 2013) http://t.co/5bWuyyJ4x7 via @gmanews",1383875023.0,jigeumeun,'398747654223454208',Taipei,,28800.0,,en,"lucky I found the whole drama REPLAY: Livestream: Napoles at Senate pork scam hearing (Nov. 7, 2013) http://t.co/5bWuyyJ4x7 via @gmanews","[lucky, found, drama, REPLAY, Livestream, Napoles, Senate, pork, scam, hearing, Nov., http://t.co/5bWuyyJ4x7, @gmanews]"
22,,napoles though..,1383875099.0,zeeahhco,'398747972566929408',Alaska,,-32400.0,,en,napoles though..,[napoles]
