user utc offset,text,created_at,user,id,user time zone,lng,user location,lat,language
mnl - zmga,You look like Napoles @Chrstinealforte hahahahahaha love you! http://t.co/V1E3UK128R,1383875394.0,hakunamachata,'398749210784169984',Pacific Time (US & Canada),,-28800,,en
IG: yobadgalmimi,"""MY AMNESIA GIRL 2.0"" #Napoles baboy #Porkbarrel pky :p  http://t.co/KxryKIPnRv",1383875424.0,YoBadgalmimi,'398749334545526785',Atlantic Time (Canada),,-14400,,en
"Gen.Trias, Cavite",watching the Senate Hearing on pork barrel scam that aired yesterday. I wanted to see for myself everything that happened.,1383875437.0,jAnneAyuyao,'398749388824006656',Alaska,,-32400,,en
"LAGUNA, PH","YOLANDA, Y U NOT JUST GO TO JANET NAPOLES' HOUSE THEN LEAVE PLS",1383875450.0,princeianjervis,'398749441995177984',Quito,,-18000,,en
Another World,Janet Lim-Napoles is still the strongest Typhoon in the history. #PrayForThePhilippines,1383875480.0,mabbyitsyouu,'398749569028079616',Kuala Lumpur,,28800,,en
,"Yolanda, leave us alone... take Janet Napoles with you too... #PrayForThePhilippines",1383875513.0,IAmSignum,'398749709226881024',Alaska,,-32400,,en
111 Howard Drive ,Torn between the Napoles news and the typhoon for balitaan on Monday ,1383875542.0,kynanotkina,'398749828751974400',Pacific Time (US & Canada),,-28800,,en
JAPAN  LAGUNA,What does the pig say?NAPOLES: sinungalinglinglinglingling,1383875553.0,RAINfinity8,'398749877271674880',Tokyo,,32400,,en
Nowhere,#ARTPOPxASTROPLUS @Astroplus1  @mca_music  let's forget about napoles for a while and give attention to this @skeithler  @hausofjerald,1383875566.0,CedieGaga,'398749930174427137',Beijing,,28800,,en
MNL,"@kynanotkina napolesit's funny cause of her answers ""di ko po alam"" HAHA",1383875574.0,Harrypotterpie,'398749966031536128',Pacific Time (US & Canada),,-28800,,en
,Will Napoles tell the truth in the Senate inquiry on pork barrel scam today? I doubt. @inquirerdotnet,1383875584.0,OscarLimin,'398750005667700736',Beijing,,28800,,en
,Imprisoning Napoles won't be enough. Don't forget that the money came from public funds controlled by govt officials. We're losing focus.,1383875588.0,IFoldMyShorts,'398750023854206976',Alaska,,-32400,,en
"Isabela, Philippines",NAPOLES + YOLANDA :-( #PrayForThePhilippines,1383875618.0,laniefegaliza,'398750147569414144',,,,,en
"Quezon, Philippines",What's on your mind?I Invoke My Right Against Self Incrimination - Janet Napoles,1383875625.0,MichaelAlegre,'398750177122844672',Taipei,,28800,,en
Philippines,"Janet Lim Napoles denied she is wealthy, but rather ""tama lang sa buhay (comfortable in life) http://t.co/bQQrrIdxWQ #PorkProbe",1383875625.0,rapplerdotcom,'398750178816950272',Taipei,,28800,,en
,"@dlfredeluces JUST WAIT. ""thor will be back"" HAHAHAHAHA For now, ROBOCOP muna kc may napoles pa =))))) ""i invoke my right.."" #TrueLokiHere",1383875662.0,GurtizaJustine,'398750332286537728',,,,,en
,I'd hate it if the Napoles scam simply becomes yet another squabble that will remain open-ended due to fears of uncovering dangerous truths.,1383875693.0,IFoldMyShorts,'398750461584363520',Alaska,,-32400,,en
CA,"Napoles be like idk, i cant remember",1383875704.0,notchloie,'398750510699651072',Arizona,,-25200,,en
,"As expected, Napoles would invoke her right against self incrimination. Asahan na yan. @PhilippineStar",1383875715.0,AIlaban,'398750553976471552',,,,,en
@IBGDRGN'S,"""@wattpaddicts: Pork Barrel Scam. Earthquake. Super Typhoon. #PrayForThePhilippines""",1383875716.0,sheisangelaraya,'398750559735271424',Alaska,,-32400,,en
,"Napoles would just say to Senate blue ribbon, ""I have no lawyers and I want to invoke my right against self-incirimination"". Tapos! @dzbb",1383875760.0,RomeoDaep,'398750743521292288',,,,,en
Narnia,#Napoles you cray,1383875777.0,choshmorever01,'398750814895763456',Wellington,,46800,,en
MLA,If Death Note exist (Napoles Hearing) #HindiKoPoAlam #FilipinoFriday #BVphilippines #TeamPOV https://t.co/36DtGjxAVo,1383875786.0,jammieson,'398750855270526976',Hong Kong,,28800,,en
Paraaque,"If Janet Lim-Napoles is ""tama lang sa buhay"", does that make the middle-class, like me, poor as rats?",1383875821.0,brnlncgllr,'398750999835201536',Singapore,,28800,,en
,The foredoom in regard to pork barrel jobs: gsgPsPfhP,1383875965.0,JosephRachel2,'398751605077471232',,,,,en
sbca,Napoles should watch Honesto haha,1383875999.0,allenpaulmartin,'398751747394383872',,,,,en
London,"""All I know is pouring rain and everything has changed."" - @taylorswift13 (Yan lang din daw ang alam ni #Napoles) #YolandaPH",1383876009.0,SenyoraTINTIN,'398751787278016513',London,,0,,en
"Bicol, Philippines ",What does the fox says?Napoles: HINDI KO PO ALAM,1383876010.0,crisbasmayor,'398751791329726464',Beijing,,28800,,en
"Malibay, Pasay City","I rather watch Oggy and the Cockroaches than the Senate hearing or whatsoever stuff about PDAF, Napoles,... http://t.co/9qJbWUYSsz",1383876020.0,iamthebonakid,'398751835928133632',Pacific Time (US & Canada),,-28800,,en
taguig,They really need to give truth serum to janet napoles to make things easier. right initiates?,1383876071.0,Budisooon,'398752048088236032',Alaska,,-32400,,en
Makati,"Bong's lawyer: Senate body violated Napoles' right: By Christina MendezMANILA, Philippines - The camp of Sen.... http://t.co/XAWiwmVEpv",1383876079.0,em_jhae,'398752082364096512',Pacific Time (US & Canada),,-28800,,en
,"if you are given a chance to slap a celebrity, who wo...  If only I could consider Janet Napoles as a celebrity... http://t.co/t3cf3z6dJN",1383876094.0,miyatchah501,'398752143643250688',Seoul,,32400,,en
"Manila, Philippines",#nowwatching Napoles Hearing http://t.co/O969cqFpWi,1383876095.0,teddeRZ10,'398752151331028992',Hong Kong,,28800,,en
@meeeaaann's,waching this janet napoles hearing at the senate,1383876116.0,angelicaverrrr,'398752238476087296',Alaska,,-32400,,en
 London ,Urgh. STFU Napoles,1383876199.0,HeyowitsHannah,'398752583541477376',London,,0,,en
,#Napoles is an issue that must not be forgotten for a day as some would like is to. Its unfair that politicians enjoy life out our taxes.,1383876215.0,Edmund_0184,'398752651480805376',,,,,en
"Manila, Philippines","Srsly. Yolanda, please get out of PAR and take Napoles with you. Thank you.",1383876220.0,yvonnedosel,'398752671890284544',Alaska,,-32400,,en
Philippines,The safety of detainees is an institutional concern of the government - Coloma on securing Napoles | via @aureacalica,1383876227.0,PhilippineStar,'398752704681758720',Hong Kong,,28800,,en
Philippines,RT NAPOLES_ZONED: LIKE US ON FACEBOOK ---&gt; http://t.co/s38LePRAWw http://t.co/iBMJWOSnHn,1383876237.0,PinoyBQs,'398752744536043520',Hong Kong,,28800,,en
Under your bed,Do you spend too much time on smart phone playing stupid games?  Balita ko si #Napoles daw. http://t.co/g3VeHgcr9q,1383876246.0,rawrbabyonboard,'398752784226738177',Eastern Time (US & Canada),,-18000,,en
Philippines,"""@PhilstarNews: Bong's lawyer: Senate body violated Napoles' right @PhilstarNews http://t.co/BslGqXQ23t""-&gt;and Pogi violated our rights! ",1383876250.0,pinoymommy,'398752800319877121',Singapore,,28800,,en
somewhere in neverland,"""@gmanews: Napoles' denials can be used against her Escudero http://t.co/H2GSXzSOzv"" tsk",1383876251.0,WhereisGlennica,'398752804195405824',Pacific Time (US & Canada),,-28800,,en
Philippines ,@IssaJaziel napoles the bulldog ,1383876257.0,AweSammmm,'398752829277339649',Quito,,-18000,,en
"So Paulo, Brazil",NAPOLES MUST BUY #ARTPOPxASTROPLUS,1383876273.0,MonsterViola,'398752897342533632',Beijing,,28800,,en
Add/Follow on Facebook,GTA V : Pork Barrel Edition Features :High Quality GraphicsNew CarsNew Characters &amp; MORE!... http://t.co/tnty4StSyG,1383876297.0,ItsmeKhristian,'398752994608431104',Beijing,,28800,,en
Philippines,Sen AP Cayetano eyes perjury charges vs PDAF scandal suspect Janet Napoles over her testimony to Blue Ribbon Committee Thursday. #SolarNews,1383876298.0,solartvnews,'398753000501432320',Taipei,,28800,,en
,I invoke my right by janet napoles,1383876303.0,joy_capalad,'398753021238054912',,,,,en
,Napoles Zoned amp,1383876332.0,heyMargaB,'398753141660733440',,,,,en
ig: youhungyourself,"Napoles jokes aren't really funny, We're talking about someone who stole millions of money from us, i don't think it's funny.",1383876343.0,inheartswayne,'398753190436278272',Alaska,,-32400,,en
"Queens, NY",Drilon blew chances to pin down Janet twice http://t.co/HwkJHeb1Ab. clearly Sen. Drilon is involved in the pork barrel scam.,1383876343.0,pet2k09,'398753189924585472',Eastern Time (US & Canada),,-18000,,en
,#Yolanda cannot wipe out my bad mood caused by #Napoles,1383876348.0,AlexaArmendi,'398753210044657664',Beijing,,28800,,en
Philippines,"sa English kanina:may expectation in english, is that Napoles will tell the truth.",1383876352.0,peramNeilcutter,'398753227807531008',Beijing,,28800,,en
LA,Hayley : Are you gonna stay the Night?Napoles : I invoke my right against self incrimination,1383876355.0,PeteMcLuvin,'398753238511386624',Hong Kong,,28800,,en
,"What can you say about the ""I invoke my rights?"" (Janet Napoles) @uryuu_ishida06 @ThiSamanthaGirl @ynahvillarin @1105Leannie share! share!",1383876389.0,LearningConfere,'398753380408901635',,,,,en
,"They better ensure #Napoles lives 'til the trials. She may not be the only key, but what she knows are vital for the #PorkProbe case.",1383876437.0,edricysh,'398753581945192448',,,,,en
Makati City,#YolandaPH Wants #Napoles,1383876439.0,Lhen_Chachi,'398753591986380800',Beijing,,28800,,en
,Bong's lawyer: Senate body violated Napoles' right http://t.co/9RqlDk2EIg,1383876446.0,Runningtothemax,'398753621917327360',Atlantic Time (Canada),,-14400,,en
IG: sharlottemae,fansign by napoLES WAT,1383876470.0,sharlottemae,'398753722739589120',Arizona,,-25200,,en
,Sen. Miriam asks Napoles: Who is most guilty? | Watch the video - Yahoo Philippines News http://t.co/ixJJfd5sdD,1383876495.0,lovely_poh,'398753827609784322',Baghdad,,10800,,en
,"As alleged by Ms Sandra Cam, Sen Drilon is the protector of Ms Napoles. He ought to be prosecuted. if convicted put inside the pigpen...",1383876511.0,hlas_08,'398753894274039808',Arizona,,-25200,,en
loading/5,"""Harry met filipino fans and said they were cute and beautiful""he called us cutehe called napoles cutehe called me cutealkmdkfmf",1383876514.0,tomlinshakeys,'398753904692707329',Beijing,,28800,,en
,READ: NAPOLES'S SENATE SHOCKER http://t.co/BMqLhI4JIY via @HecklerForever *from my fave blog!,1383876520.0,asset_tessa,'398753932119261184',Taipei,,28800,,en
,"Yolanda, we are willing to give Napoles to you! Please, stop and go away from our country!",1383876550.0,justmeAnzhe,'398754055930933248',Singapore,,28800,,en
,Sen. Miriam Santiago to Napoles: There you are! Let me take a good look at you.,1383876564.0,clarieferrer,'398754118409269248',Alaska,,-32400,,en
,We should transfer janet napoles to a regular jail since its obvious that she will not tell the truth.,1383876624.0,tonypanelojr,'398754366384910336',,,,,en
Philippines ,Master of the Pork Barrel Scam @Elizatoot,1383876628.0,markaureliusr,'398754382738501632',Alaska,,-32400,,en
,"""Harry met filipino fans and said they were cute and beautiful"" he called us cute he called napoles cute he called me cute alkmdkfmf",1383876694.0,JoycieHoran,'398754663073189890',Beijing,,28800,,en
"Makati, Philippines",Coconuts Manila shares 10 creative memes inspired by the recent hearing concerning the Pork Barrel scam! http://t.co/3pGLvtkr25,1383876694.0,cerbojam,'398754662721273856',Singapore,,28800,,en
