,id,lat,lng,text,Parsed,lemmas
297,928663411931561984,28.638489500000002,77.095086,"''Good night everyone! ❤️ Be safe. Keep your torches charged and ready, your pantry stocked. Don''''t forget your rain g… https://t.co/uhxKeNu3Hs''","''Good night everyone! ❤️ Be safe. Keep your torches charged and ready, your pantry stocked. Don''''t forget your rain g… https://t.co/uhxKeNu3Hs''","['good', 'night', 'safe', 'torch', 'charge', 'ready', 'pantry', 'stock', ""don''''t"", 'forget', 'rain']"
298,928641857382375425,14.712613000000001,120.97565549999999,''Thanks G https://t.co/AqqeCCSwIX'',''Thanks G https://t.co/AqqeCCSwIX'',['thank']
299,928643443412189184,14.683012,121.0627355,''Sembreak again 🔥 https://t.co/EQvmhThL0z'',''Sembreak again 🔥 https://t.co/EQvmhThL0z'',['sembreak']
300,928643427196997633,14.306869500000001,121.0690575,''Okay Signal #2 na agad. #SalomePH'',''Okay Signal #2 na agad. #SalomePH'',"['okay', 'signal', 'agad', 'salomeph']"
301,928667911060779008,14.5914565,120.9839865,"''Happy 18th birthday @Stuffedbook10 grabe dalaga na sya ipapahanda na namin 18 roses, 18 activity forms, 18 logistic… https://t.co/xPIZAo1bJC''","''Happy 18th birthday @Stuffedbook10 grabe dalaga na sya ipapahanda na namin 18 roses, 18 activity forms, 18 logistic… https://t.co/xPIZAo1bJC''","['happy', '18th', 'birthday', 'grabe', 'dalaga', 'sya', 'ipapahanda', 'namin', 'rose', 'activity', 'form', 'logistic']"
302,928655295143751683,13.872945499999998,122.2991135,"''Since offices will be open tomorrow, I wonder if my compre exam can still push through. 🤔 Otherwise, I should not h… https://t.co/YtwLfM5n8a''","''Since offices will be open tomorrow, I wonder if my compre exam can still push through. 🤔 Otherwise, I should not h… https://t.co/YtwLfM5n8a''","['office', 'open', 'tomorrow', 'wonder', 'compre', 'exam', 'push']"
303,928642458086510594,40.5724045,-74.41364399999999,''Anong trip ng PAGASA at kay @SalomeSalvi pa pinangalan ang bagyo kklk HAHAHAHA #SalomePH'',''Anong trip ng PAGASA at kay @SalomeSalvi pa pinangalan ang bagyo kklk HAHAHAHA #SalomePH'',"['anong', 'trip', 'pagasa', 'kay', 'pinangalan', 'ang', 'bagyo', 'kklk', 'hahahaha', 'salomeph']"
304,928647732406784000,14.05741,120.90714750000001,''Ano po ba talaga? Signal #1 or #2? #Batangas #SalomePH https://t.co/4nxWu9WLML'',''Ano po ba talaga? Signal #1 or #2? #Batangas #SalomePH https://t.co/4nxWu9WLML'',"['ano', 'talaga', 'signal', 'batangas', 'salomeph']"
305,928649657210699776,14.538013000000001,121.169273,''Petmalu https://t.co/IJNiAV1K9r'',''Petmalu https://t.co/IJNiAV1K9r'',['petmalu']
306,928642343544111104,14.683012,121.0627355,''Ninong @PresidentErap https://t.co/AFkP7DIne4'',''Ninong @PresidentErap https://t.co/AFkP7DIne4'',['ninong']
307,928739481196281856,14.349252499999999,121.0444275,''Sarap ng gising ko https://t.co/f5npZbP5z5'',''Sarap ng gising ko https://t.co/f5npZbP5z5'',"['sarap', 'gis']"
308,928650314730762240,14.0227145,120.75853049999999,''wala na nga 😂 https://t.co/yLSfPXReLe'',''wala na nga 😂 https://t.co/yLSfPXReLe'',"['wala', 'nga']"
309,928649903378718720,5.158936499999999,6.1978230000000005,''Dont miss #Evangelistreinhardbonnke  power-parked crusade happening live in Lagos #TystnadTagning #SPM2017… https://t.co/OZrCK0DqN4'',''Dont miss #Evangelistreinhardbonnke  power-parked crusade happening live in Lagos #TystnadTagning #SPM2017… https://t.co/OZrCK0DqN4'',"['not', 'miss', 'evangelistreinhardbonnke', 'power', 'park', 'crusade', 'happen', 'live', 'lagos', 'tystnadtagning', 'spm2017']"
310,928644713367838721,15.459767000000001,121.034475,''Nagtretrend si Mayor Erap sa tweeter kasi naging bayani nanaman siya saming mga Istudyante ng Maynila #WalangPasok 😂'',''Nagtretrend si Mayor Erap sa tweeter kasi naging bayani nanaman siya saming mga Istudyante ng Maynila #WalangPasok 😂'',"['nagtretrend', 'mayor', 'erap', 'tweeter', 'kasi', 'nag', 'bayani', 'nanaman', 'siya', 'sam', 'mga', 'istudyante', 'maynila', 'walangpasok']"
311,928645533018628096,14.712613000000001,120.97565549999999,''Magpugay oh hahaha https://t.co/6jLOND8lgJ'',''Magpugay oh hahaha https://t.co/6jLOND8lgJ'',"['magpugay', 'hahaha']"
312,928650722337591301,14.683012,121.0627355,"''salamat, rest lang muna si pogi boy.  RT @QCPublicAffairs classes at ALL LEVELS in QUEZON CITY are suspended tomorr… https://t.co/NjIEHYF2yD''","''salamat, rest lang muna si pogi boy.  RT @QCPublicAffairs classes at ALL LEVELS in QUEZON CITY are suspended tomorr… https://t.co/NjIEHYF2yD''","['salamat', 'rest', 'lang', 'muna', 'pogi', 'boy', 'class', 'levels', 'quezon', 'city', 'suspend', 'tomorr']"
313,928650441029705729,14.683012,121.0627355,''Unang tweet ng hashtag #WalangPasok ngayong sem. 🙃 ang sipag ko talaga'',''Unang tweet ng hashtag #WalangPasok ngayong sem. 🙃 ang sipag ko talaga'',"['unang', 'tweet', 'hashtag', 'walangpasok', 'ngayong', 'sem', 'ang', 'sipag', 'talaga']"
314,928644724570783745,14.4388285,120.995337,''medyo tutol kami sa posibleng suspensiom bukas. hahaha. stay safe fam! https://t.co/5jPccK71gz'',''medyo tutol kami sa posibleng suspensiom bukas. hahaha. stay safe fam! https://t.co/5jPccK71gz'',"['medyo', 'tutol', 'kami', 'posibleng', 'suspensiom', 'bukas', 'hahaha', 'stay', 'safe', 'fam']"
315,928743586782371840,15.5931,120.7391,''⒈ #MakeMeAngryIn5Words ⒉ #ALDUBManaligSaPuso ⒊ #WelcometoMNLHyungsik ⒋ #SalomePH ⒌ #LLSBlackParty  2017/11/10 05:53 +08'',''⒈ #MakeMeAngryIn5Words ⒉ #ALDUBManaligSaPuso ⒊ #WelcometoMNLHyungsik ⒋ #SalomePH ⒌ #LLSBlackParty  2017/11/10 05:53 +08'',"['makemeangryin5word', 'aldubmanaligsapuso', 'welcometomnlhyungsik', 'salomeph', 'llsblackparty', '2017/11/10', '05:53']"
316,928642299671715841,14.683012,121.0627355,''#WalangPasok'',''#WalangPasok'',['walangpasok']
317,928645967636717568,14.5328815,121.0069495,"''Ayan suot na naman mga Pulag outfit, Lamig eh. :p #Haiku #SalomePH''","''Ayan suot na naman mga Pulag outfit, Lamig eh. :p #Haiku #SalomePH''","['ayan', 'suot', 'naman', 'mga', 'pulag', 'outfit', 'lamig', 'haiku', 'salomeph']"
318,928641693586305024,14.683012,121.0627355,''THIS IS THE LIFE YAY https://t.co/leuuQvfptP'',''THIS IS THE LIFE YAY https://t.co/leuuQvfptP'',"['life', 'yay']"
319,928644093629964289,14.5914565,120.9839865,"''Kung kelan gustung gusto mo pumasok saka naman babagyo 😁 sayang ang ganap bukas, tapos one week uling bakasyon 😂😂sarap buhay 😁 #WalangPasok''","''Kung kelan gustung gusto mo pumasok saka naman babagyo 😁 sayang ang ganap bukas, tapos one week uling bakasyon 😂😂sarap buhay 😁 #WalangPasok''","['kung', 'kelan', 'gustung', 'gusto', 'pumasok', 'saka', 'naman', 'babagyo', 'sayang', 'ang', 'ganap', 'bukas', 'tapos', 'week', 'uling', 'bakasyon', '😂😂sarap', 'buhay', 'walangpasok']"
320,928643077933228032,14.504111499999999,121.0652415,''Signal #2 na Metro manila https://t.co/clmQlTdBbH'',''Signal #2 na Metro manila https://t.co/clmQlTdBbH'',"['signal', 'metro', 'manila']"
321,928730283565768704,14.2797435,120.871999,''Ang hangin mo. #SalomePH'',''Ang hangin mo. #SalomePH'',"['ang', 'hangin', 'salomeph']"
