(96, 1.0)
(148, 0.62504399)
(98, 0.53152519)
(24, 0.44245827)
(240, 0.36689872)
(205, 0.30543745)
(322, 0.29792523)
(304, 0.27998871)
(120, 0.26770854)
(156, 0.25532752)
(267, 0.2523005)
(273, 0.23277983)
(313, 0.22489488)
(221, 0.22074243)
(178, 0.2195465)
(259, 0.21363941)
(80, 0.18620631)
(325, 0.17445602)
(346, 0.17295858)
(97, 0.17246091)
(149, 0.17235669)
(272, 0.15082486)
(73, 0.077295691)
(60, 0.036626093)
(13, 0.024508825)
(276, 0.023755997)
(266, 0.022802319)
(213, 0.021862557)
(75, 0.021268155)
(66, 0.019694265)
(43, 0.019310586)
(319, 0.0184488)
(159, 0.017972872)
(274, 0.017169014)
(139, 0.0160338)
(239, 0.015974376)
(19, 0.015939295)
(295, 0.015807461)
(278, 0.014855169)
(280, 0.014070062)
(25, 0.013890453)
(301, 0.013176329)
(62, 0.012698043)
(283, 0.012147672)
(250, 0.011968441)
(169, 0.011547998)
(277, 0.011528701)
(203, 0.010597602)
(244, 0.010397241)
(327, 0.010255624)
(86, 0.01013568)
(308, 0.0099810362)
(164, 0.0099402033)
(260, 0.0091739092)
(132, 0.0089079738)
(227, 0.0088907871)
(40, 0.0087534469)
(314, 0.008750245)
(242, 0.0082963146)
(328, 0.0080249459)
(163, 0.0078347772)
(21, 0.0077054445)
(59, 0.0076523535)
(109, 0.007646665)
(208, 0.007351242)
(65, 0.0071362853)
(144, 0.0067306459)
(142, 0.0066755563)
(7, 0.0064624324)
(200, 0.0062702745)
(326, 0.0061659999)
(214, 0.0060860757)
(145, 0.0059791692)
(158, 0.0059507862)
(307, 0.0059466278)
(58, 0.005696822)
(34, 0.0056768395)
(133, 0.0055643953)
(101, 0.005384434)
(264, 0.0053494424)
(33, 0.0052655786)
(247, 0.0052020084)
(194, 0.0051336177)
(311, 0.0051268861)
(320, 0.0050445572)
(53, 0.0050107837)
(241, 0.0049676737)
(171, 0.004742654)
(141, 0.0043118484)
(343, 0.0042221658)
(114, 0.0040055327)
