(1171, 0.9999999)
(1363, 0.99984884)
(5526, 0.99984884)
(5566, 0.99984884)
(3392, 0.99978656)
(1087, 0.99976546)
(2682, 0.999751)
(3386, 0.99974996)
(5543, 0.9997008)
(3261, 0.99965477)
(1451, 0.9996216)
(1688, 0.99830246)
(2173, 0.99722683)
(275, 0.99546957)
(4592, 0.995021)
(3786, 0.99423677)
(4240, 0.9929674)
(2450, 0.992141)
(920, 0.991676)
(5030, 0.9877945)
(1678, 0.98570275)
(4688, 0.983905)
(2736, 0.98071474)
(4265, 0.98006356)
(2596, 0.97878087)
(1872, 0.9779483)
(803, 0.97652507)
(3132, 0.9669312)
(235, 0.9663452)
(4244, 0.9618633)
(4775, 0.9499769)
(1376, 0.9468874)
(2030, 0.93561256)
(2053, 0.9166318)
(2249, 0.9013189)
(5510, 0.89078397)
(2294, 0.88924617)
(1424, 0.883355)
(2744, 0.8563969)
(1006, 0.85530406)
(5139, 0.85259354)
(3633, 0.83129865)
(2009, 0.8240604)
(4299, 0.8184367)
(3351, 0.8164079)
(4652, 0.81585157)
(528, 0.80796283)
(1526, 0.7837704)
(1727, 0.7706338)
(1192, 0.76793885)
(4246, 0.7679189)
(1273, 0.7596512)
(708, 0.7567264)
(4917, 0.7451937)
(2127, 0.74310523)
(3378, 0.7361832)
(1786, 0.731043)
(3549, 0.7290629)
(4182, 0.7285007)
(4904, 0.72003055)
(1136, 0.71196705)
(3720, 0.71168876)
(276, 0.71095556)
(413, 0.71095556)
(447, 0.71095556)
(531, 0.71095556)
(2071, 0.71095556)
(2176, 0.71095556)
(2212, 0.71095556)
(2513, 0.71095556)
(2804, 0.71095556)
(1146, 0.7108446)
(2466, 0.710147)
(3075, 0.7100117)
(4807, 0.70948756)
(3184, 0.7088907)
(3452, 0.70888704)
(655, 0.7087914)
(2362, 0.70866406)
(4988, 0.7085769)
(1063, 0.70851016)
(1098, 0.70799166)
(2624, 0.707513)
(5232, 0.7073485)
(585, 0.7070886)
(2213, 0.70685434)
(1545, 0.70680034)
(1867, 0.7061372)
(2667, 0.70547646)
(5384, 0.70542675)
(1566, 0.7051641)
(5479, 0.7044196)
(5267, 0.70373404)
(2902, 0.7037138)
(277, 0.7031176)
(480, 0.7027805)
(3858, 0.7027466)
(3679, 0.7025544)
(5140, 0.7022736)
(1857, 0.70180583)
(1789, 0.70169663)
(4819, 0.7014503)
(1824, 0.70137346)
(435, 0.701158)
